Date : 2023-08-05 21:16:21
Directory : /Users/weapp/ownProjects/seek-backend/src
Total : 126 files,  4386 codes, 102 comments, 533 blanks, all 5021 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |        126 |      4,386 |        102 |        533 |      5,021 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/weapp/ownProjects/seek-backend/src/types/file.ts                                  | TypeScript |          2 |          0 |          1 |          3 |
| /Users/weapp/ownProjects/seek-backend/src/types/googleMaps.ts                            | TypeScript |          6 |          0 |          1 |          7 |
| /Users/weapp/ownProjects/seek-backend/src/types/index.ts                                 | TypeScript |         18 |          0 |          1 |         19 |
| /Users/weapp/ownProjects/seek-backend/src/types/maps.ts                                  | TypeScript |          9 |          0 |          3 |         12 |
| /Users/weapp/ownProjects/seek-backend/src/types/models.ts                                | TypeScript |          7 |          0 |          2 |          9 |
| /Users/weapp/ownProjects/seek-backend/src/types/notification.ts                          | TypeScript |        105 |          0 |         17 |        122 |
| /Users/weapp/ownProjects/seek-backend/src/types/queryParams.ts                           | TypeScript |         20 |          0 |          3 |         23 |
| /Users/weapp/ownProjects/seek-backend/src/types/request.ts                               | TypeScript |         60 |          0 |          6 |         66 |
| /Users/weapp/ownProjects/seek-backend/src/types/requestBody.ts                           | TypeScript |         14 |          0 |          5 |         19 |
| /Users/weapp/ownProjects/seek-backend/src/types/requestFormData.ts                       | TypeScript |          4 |          0 |          2 |          6 |
| /Users/weapp/ownProjects/seek-backend/src/types/responseBody.ts                          | TypeScript |         10 |          0 |          2 |         12 |
| /Users/weapp/ownProjects/seek-backend/src/types/serverLanguages.ts                       | TypeScript |          1 |          0 |          1 |          2 |
| /Users/weapp/ownProjects/seek-backend/src/types/socketControllers.ts                     | TypeScript |          7 |          0 |          2 |          9 |
| /Users/weapp/ownProjects/seek-backend/src/types/socketMessages.ts                        | TypeScript |         83 |          1 |         17 |        101 |
| /Users/weapp/ownProjects/seek-backend/src/types/webSocket.ts                             | TypeScript |          2 |          0 |          2 |          4 |
| /Users/weapp/ownProjects/seek-backend/src/utils/http.ts                                  | TypeScript |          9 |          0 |          4 |         13 |
| /Users/weapp/ownProjects/seek-backend/src/utils/index.ts                                 | TypeScript |          9 |          0 |          2 |         11 |
| /Users/weapp/ownProjects/seek-backend/src/utils/jwt.ts                                   | TypeScript |         10 |          0 |          3 |         13 |
| /Users/weapp/ownProjects/seek-backend/src/utils/urls.ts                                  | TypeScript |          5 |          0 |          3 |          8 |
| /Users/weapp/ownProjects/seek-backend/src/wrappers/errors.ts                             | TypeScript |          7 |          0 |          2 |          9 |
| /Users/weapp/ownProjects/seek-backend/src/wrappers/index.ts                              | TypeScript |          1 |          0 |          1 |          2 |
| Total                                                                                    |            |      4,386 |        102 |        533 |      5,021 |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
